111.24,35.63,15.39
86.77,35.50,15.98
111.19,35.63,15.41
86.44,35.51,15.98
100.05,35.81,17.51
100.00,34.86,16.15
80.17,35.03,16.58
99.75,35.17,14.93
113.94,36.08,15.36
111.69,35.74,15.40
99.64,35.62,17.40
113.97,36.08,15.37
84.23,35.46,19.15
99.08,34.78,15.95
99.49,35.61,17.38
98.44,34.97,16.15
97.02,34.98,15.78
82.86,34.79,16.15
99.96,35.40,14.82
111.80,35.73,15.40
99.35,35.29,14.85
99.69,35.69,17.43
111.85,35.75,15.42
97.67,35.11,15.21
99.69,35.69,17.43
100.17,35.42,16.01
111.95,35.73,15.37
112.66,35.85,15.35
111.87,35.74,15.39
86.16,35.85,15.85
113.94,36.08,15.36
113.94,36.08,15.36
114.00,36.10,15.35
102.63,35.14,14.90
114.01,36.08,15.36
100.15,35.40,14.87
114.09,36.11,15.35
99.75,35.65,17.43
114.09,36.11,15.35
112.69,35.86,15.35
114.07,36.11,15.35
112.26,35.79,15.37
114.01,36.09,15.36
114.41,36.19,15.33
86.63,35.63,15.93
104.49,35.43,14.93
112.07,35.77,15.38
91.79,34.98,16.29
113.96,36.08,15.36
113.95,36.08,15.37
113.95,36.08,15.36
86.14,36.03,15.78
97.19,35.39,15.79
114.06,36.11,15.35
114.67,36.23,15.32
114.08,36.09,15.34
111.91,35.73,15.38
86.26,36.01,15.77
113.96,36.08,15.36
113.97,36.05,15.36
86.16,36.03,15.77
112.54,35.84,15.36
113.95,36.08,15.36
99.32,36.16,17.70
113.95,36.08,15.37
114.00,36.08,15.36
114.07,36.11,15.35
114.57,36.21,15.33
114.03,36.10,15.35
114.08,36.10,15.35
86.16,36.04,15.77
114.02,36.09,15.36
113.95,36.08,15.37
114.78,36.25,15.32
114.08,36.11,15.35
113.95,36.08,15.37
114.55,36.21,15.33
99.25,36.31,17.80
111.79,35.72,15.38
114.88,36.27,15.32
114.61,36.22,15.33
112.57,35.84,15.36
114.93,36.27,15.32
113.99,36.09,15.36
114.08,36.11,15.35
115.49,36.37,15.31
86.21,36.02,15.77
114.17,36.09,15.35
114.59,36.22,15.33
114.00,36.09,15.36
114.58,36.21,15.33
114.98,36.28,15.32
114.03,36.09,15.36
114.66,36.23,15.32
115.36,36.35,15.31
115.50,36.37,15.31
114.59,36.21,15.33
111.69,35.73,15.40
99.30,36.22,17.74
114.07,36.10,15.35
